datetime,Baron_discharge_m3s,Hueco_discharge_m3s,Jacobs_discharge_m3s,PRCP_mm,T_AVER
9/19/03,2.002001083,1.424337404,,0,75.5
9/20/03,1.990674344,1.387525503,,1.016,74.5
9/21/03,1.999169398,1.294079908,,8.636,70.5
9/22/03,2.007664452,1.294079908,,0,76.5
9/23/03,2.018991191,1.294079908,,0,75
9/24/03,1.925545596,1.294079908,,0,78.5
9/25/03,1.840595055,1.294079908,,0,79
9/26/03,1.749981145,1.294079908,,3.556,74
9/27/03,1.749981145,1.294079908,,0,79.5
9/28/03,1.744317775,1.294079908,,0,77.5
9/29/03,1.730159352,1.203465998,,0,73.5
9/30/03,1.718832613,1.163822412,,0,71
10/1/03,1.713169244,1.163822412,,0,70
10/2/03,1.707505874,1.166654096,,0,71
10/3/03,1.69901082,1.172317466,,0,69
10/4/03,1.690515766,1.172317466,,0,73
10/5/03,1.682020712,1.172317466,,1.016,79.5
10/6/03,1.670693973,1.172317466,,1.778,76.5
10/7/03,1.662198919,1.172317466,,0,76
10/8/03,1.65087218,1.172317466,,3.556,77.5
10/9/03,1.653703865,1.172317466,,8.89,78
10/10/03,1.667862288,1.172317466,,0,72.5
10/11/03,1.648040495,1.172317466,,8.382,73
10/12/03,1.65653555,1.189307574,,0.508,74.5
10/13/03,1.645208811,1.203465998,,0,76.5
10/14/03,1.639545441,1.186475889,,0,69
10/15/03,1.628218703,1.172317466,,0,65.5
10/16/03,1.611228594,1.172317466,,0,72.5
10/17/03,1.597070171,1.172317466,,0,73
10/18/03,1.591406801,1.172317466,,0,68.5
10/19/03,1.580080063,1.115683772,,0,70
10/20/03,1.571585009,1.059050078,,0,71
10/21/03,1.568753324,1.059050078,,0,72.5
10/22/03,1.565921639,1.059050078,,0,76
10/23/03,1.557426585,1.059050078,,0,78.5
10/24/03,1.543268162,1.059050078,,0,74
10/25/03,1.531941423,1.059050078,,0,73.5
10/26/03,1.534773107,1.059050078,,2.032,56
10/27/03,1.523446369,1.059050078,,0,63
10/28/03,1.50645626,1.059050078,,0,66
10/29/03,1.503624576,1.059050078,,0,69
10/30/03,1.486634468,1.059050078,,0,76.5
10/31/03,1.469644359,1.059050078,,0,82.5
11/1/03,1.430000774,1.059050078,,0,78
11/2/03,1.387525503,1.059050078,,7.62,76
11/3/03,1.328060124,1.059050078,,0,76.5
11/4/03,1.260099692,1.061881763,,0,75.5
11/5/03,1.189307574,1.059050078,,0,75
11/6/03,1.107188718,1.059050078,,0,58.5
11/7/03,1.044891654,1.059050078,,0,49
11/8/03,1.078871871,1.059050078,,2.032,52
11/9/03,1.127010511,1.047723339,,1.016,54.5
11/10/03,1.169485781,0.954277744,,0,66.5
11/11/03,1.209129367,0.954277744,,0,72.5
11/12/03,1.209129367,0.954277744,,0.254,77
11/13/03,1.22328779,0.954277744,,5.334,63
11/14/03,1.206297682,0.954277744,,0,64.5
11/15/03,1.211961052,0.954277744,,0.762,70.5
11/16/03,1.211961052,0.954277744,,0,75.5
11/17/03,1.22895116,0.954277744,,14.986,69.5
11/18/03,1.279921484,0.770218238,,0,63
11/19/03,1.265763061,0.767386554,,0,61
11/20/03,1.214792736,0.767386554,,0,60
11/21/03,1.209129367,0.767386554,,0,67
11/22/03,1.209129367,0.767386554,,0,73
11/23/03,1.203465998,0.767386554,,1.524,57
11/24/03,1.217624421,0.767386554,,0,43.5
11/25/03,1.226119475,0.767386554,,0,50.5
11/26/03,1.22328779,0.767386554,,0,63.5
11/27/03,1.220456106,0.690931067,,0,60.5
11/28/03,1.226119475,0.685267697,,0,51
11/29/03,1.226119475,0.685267697,,0,48.5
11/30/03,1.189307574,0.685267697,,0,57.5
12/1/03,1.175149151,0.685267697,,0,65
12/2/03,1.175149151,0.685267697,,0,66.5
12/3/03,1.163822412,0.685267697,,0,65.5
12/4/03,1.163822412,0.651287481,,0,58
12/5/03,1.18081252,0.66261422,,0,50
12/6/03,1.192139259,0.685267697,,0,43.5
12/7/03,1.177980835,0.685267697,,0,50
12/8/03,1.149663988,0.685267697,,0,65
12/9/03,1.146832304,0.685267697,,0.254,59.5
12/10/03,1.141168934,0.651287481,,0,50
12/11/03,1.138337249,0.608812211,,0,48.5
12/12/03,1.13267388,0.634297373,,9.906,54.5
12/13/03,1.166654096,0.685267697,,0,46.5
12/14/03,1.141168934,0.685267697,,0,49
12/15/03,1.13267388,0.685267697,,0,61.5
12/16/03,1.118515457,0.648455796,,0,49.5
12/17/03,1.118515457,0.608812211,,0,51.5
12/18/03,1.110020402,0.608812211,,0,50.5
12/19/03,1.098693664,0.608812211,,0,53
12/20/03,1.098693664,0.682436013,,0,49.5
12/21/03,1.101525348,0.685267697,,0,59
12/22/03,1.098693664,0.648455796,,0,67
12/23/03,1.095861979,0.608812211,,0,51
12/24/03,1.107188718,0.608812211,,0,52
