DATE,Baron_discharge_m3s,Hueco_discharge_m3s,Jacobs_discharge_m3s,PRCP_mm,T_AVER,Barton Ck360,Colorado Rv,Bear Ck,Onion Ck,Walnut Ck
1/27/79,1.953862443,,,0,6.4,0.849504,3.4546496,,,0.424752
1/28/79,1.953862443,,,0,0.8,0.70792,3.8510848,,,0.3964352
1/29/79,1.953862443,,,2.794,3.1,0.6796032,3.822768,,,0.3964352
1/30/79,1.953862443,,,0.508,6.7,0.6796032,12.176224,,,0.424752
1/31/79,1.953862443,,,0,-1.4,0.566336,3.5112832,,,0.3964352
2/1/79,1.953862443,,,0,1.9,0.5097024,3.7378176,,,0.3681184
2/2/79,1.953862443,,,2.54,5.6,0.4813856,4.24752,,,0.424752
2/3/79,1.953862443,,,6.604,7.8,0.5097024,5.1536576,,,0.70792
2/4/79,1.953862443,,,16.002,5.3,0.70792,8.2401888,,,2.3786112
2/5/79,2.095446678,,,14.478,4.2,2.3219776,17.7263168,,,3.964352
2/6/79,2.378615148,,,11.938,6.4,8.7498912,20.1332448,,,8.7498912
2/7/79,2.406931995,,,0,6.4,7.0508832,20.7278976,,,2.2087104
2/8/79,2.180397219,,,0,10.3,5.4085088,9.4011776,,,1.5857408
2/9/79,2.208714066,,,0,0.6,4.24752,19.6518592,,,1.1893056
2/10/79,2.208714066,,,0,6.7,3.7661344,7.3057344,,,1.0760384
2/11/79,2.237030913,,,0,11.4,3.3413824,6.937616,,,0.9627712
2/12/79,2.26534776,,,0,18.3,3.0298976,7.0508832,,,0.8778208
2/13/79,2.26534776,,,0,16.4,2.690096,6.796032,,,0.8211872
2/14/79,2.26534776,,,0,19.7,2.4352448,6.7110816,,,0.7645536
2/15/79,2.26534776,,,0,16.1,2.1520768,12.0629568,,,0.6796032
2/16/79,2.26534776,,,0,1.9,1.7556416,20.0482944,,,0.5946528
2/17/79,2.26534776,,,0.508,-2.2,1.6706912,5.6067264,,,0.5946528
